code,use,last,first,middle(s),last,suffix,nick,note,pos,hf,hi,wt,s/c,bm,bd,by,tob,sob,cob,dm,dd,dy,tod,sod,cod
arnac001,Chuck,Arnason,Ernest,Charles,Arnason,,,,R,5,10,183,R,7,15,1951,Ashern,MB,Canada,,,,,,
arnat001,Tyler,Arnason,,,,,,,C,5,11,204,L,3,16,1979,Oklahoma City,OK,USA,,,,,,
arndd001,Danny,Arndt,Daniel,Henry,Arndt,,,,L,5,11,175,L,3,26,1955,Saskatoon,SK,Canada,,,,,,
arnij001,Jamie,Arniel,,,,,,,C,5,11,183,,11,16,1989,Kingston,ON,Canada,,,,,,
arnis001,Scott,Arniel,Scott,William,Arniel,,,,L,6,1,188,L,9,17,1962,Kingston,ON,Canada,,,,,,
arnoj001,Jason,Arnott,Jason,William,Arnott,,,,C,6,4,220,R,10,11,1974,Collingwood,ON,Canada,,,,,,
arsed001,Dean,Arsene,,,,,,,D,6,2,195,L,7,20,1980,Murrayville,BC,Canada,,,,,,
arthf001,Fred,Arthur,Frederick,Edward,Arthur,,,,D,6,5,210,L,3,6,1961,Toronto,ON,Canada,,,,,,
artye001,Evgeny,Artyukhin,,,,,,,R,6,5,254,L,4,4,1983,Moscow,,Russia,,,,,,
arunj001,John,Arundel,John,O'Gorman,Arundel,,,,D,5,11,181,L,11,4,1927,Winnipeg,MB,Canada,9,19,2002,Kemptville,ON,Canada
arvem001,Magnus,Arvedson,Magnus,,Arvedson,,,,L,6,2,198,L,11,25,1971,Karlstad,,Sweden,,,,,,
ashaa001,Arron,Asham,Arron,,Asham,,,,R,5,11,210,R,4,13,1978,Portage la Prairie,MB,Canada,,,,,,
ashbb001,Barry,Ashbee,William,Barry,Ashbee,,Ash,,D,5,10,180,R,7,28,1939,Weston,ON,Canada,5,12,1977,Philadelphia,PA,USA
ash-b001,Bob,Ash,Robert,John,Ash,,Squeaky,,D,5,9,170,L,9,29,1943,Broadview,SK,Canada,,,,,,
ashbd001,Don,Ashby,Donald,Alan,Ashby,,Ants,,C,6,1,185,L,3,8,1955,Kamloops,BC,Canada,5,30,1981,,,
ashtb001,Brent,Ashton,Brent,Kenneth,Ashton,,Ash,,L,6,1,210,L,5,18,1960,Saskatoon,SK,Canada,,,,,,
ashtc001,Carter,Ashton,,,,,,,R,6,3,215,,4,1,1991,Winnipeg,MB,Canada,,,,,,
ashtr001,Ron,Ashton,Ronald,,Ashton,,,,L,6,1,205,L,5,8,1954,Regina,SK,Canada,,,,,,
ashwf001,Frank,Ashworth,Frank,,Ashworth,,,,C,5,8,155,L,10,16,1927,Moose Jaw,SK,Canada,,,,,,
asket001,Tom,Askey,Thomas,,Askey,,,,G,6,1,195,L,10,4,1974,Tonawanda,NY,USA,,,,,,
asmuf001,Freeman,Asmundson,Freeman,,Asmundson,,Duke,,D/R,6,2,195,R,8,17,1943,Vita,MB,Canada,,,,,,
asmuo001,Oscar,Asmundson,Oscar,,Asmundson,,Ossie,,C,5,11,170,R,11,17,1908,Red Deer,AB,Canada,11,2,1964,,,
astak001,Kaspars,Astashenko,Kaspars,,Astashenko,,,,D,6,2,183,L,2,17,1975,Riga,,Latvia,,,,,,
astlm001,Mark,Astley,Mark,,Astley,,,,D,5,11,185,L,3,30,1969,Calgary,AB,Canada,,,,,,
astrh001,Hardy,Astrom,Hardy,,Astrom,,,,G,6,0,170,L,3,29,1951,Skelleftea,,Sweden,,,,,,
atanw001,Walt,Atanas,Walter,,Atanas,,Ants,,R,5,8,174,R,12,22,1922,Hamilton,ON,Canada,8,8,1991,,,
atchb001,Blair,Atcheynum,Blair,,Atcheynum,,,,R,6,2,198,R,4,20,1969,Estevan,SK,Canada,,,,,,
atkic001,Cam,Atkinson,,,,,,,R,5,7,173,,6,5,1989,Riverside,CT,USA,,,,,,
atkis001,Steve,Atkinson,Steven,John,Atkinson,,The Snail,,R,5,11,170,R,10,16,1948,Toronto,ON,Canada,5,6,2003,,,
attwb001,Bob,Attwell,Robert,Allan,Attwell,,,,R,6,0,192,R,12,26,1959,Spokane,WA,USA,,,,,,
attwr001,Ron,Attwell,Ronald,Allan,Attwell,,,,R,6,0,185,R,2,9,1935,Humber Summit,ON,Canada,,,,,,
aubij001,Jean-Sebastien,Aubin,Jean,Sebastien,Aubin,,Seabass,,G,5,11,180,R,7,19,1977,Montreal,QC,Canada,,,,,,
aubin001,Norm,Aubin,Normand,,Aubin,,,,C,6,0,185,L,7,26,1960,St. Leonard,QC,Canada,,,,,,
aubis001,Serge,Aubin,Serge,,Aubin,,,,C,6,1,200,L,2,15,1975,Val d'Or,QC,Canada,,,,,,
aubrp001,Pierre,Aubry,Pierre,,Aubry,,,,C,5,10,170,L,4,15,1960,Cap-de-la-Madeleine,QC,Canada,,,,,,
aubrs001,Serge,Aubry,Serge,Dieudonne,Aubry,,,,G,5,7,165,L,1,2,1942,Montreal,QC,Canada,,,,,,
aubuo001,Ossie,Aubuchon,Oscar,,Aubuchon,,,,L,5,10,175,L,1,1,1917,St. Hyacinthe,QC,Canada,,,,,,
aucoa001,Adrian,Aucoin,Adrian,,Aucoin,,,,D,6,2,215,R,7,3,1973,Ottawa,ON,Canada,,,,,,
aucok001,Keith,Aucoin,,,,,,,C,5,9,187,R,11,6,1978,Waltham,MA,USA,,,,,,
auded001,Donald,Audette,Donald,,Audette,,,,R,5,8,190,R,9,23,1969,Laval,QC,Canada,,,,,,
audep001,Philippe,Audet,Philippe,,Audet,,,,L,6,2,202,L,6,4,1977,Ottawa,ON,Canada,,,,,,
augel001,Les,Auge,Lester,A.,Auge,Jr.,,,D,6,1,190,L,5,16,1953,St. Paul,MN,USA,9,20,2002,St. Paul,MN,USA
augup001,Patrik,Augusta,Patrik,,Augusta,,,,R,5,10,170,L,11,13,1969,Jihlava,,Czech Republic,,,,,,
aulda001,Alex,Auld,Alexander,,Auld,,,,G,6,4,200,L,1,7,1981,Cold Lake,AB,Canada,,,,,,
aulik001,Keith,Aulie,,,,,,,D,6,6,208,,6,11,1989,Rouleau,SK,Canada,,,,,,
aulij001,Jared,Aulin,,,,,,,C,6,0,192,R,3,15,1982,Calgary,AB,Canada,,,,,,
